beer,beer_id,tasting_category_fine,A_malt_all,A_malt_grain,A_malt_bread,A_malt_cara,A_malt_burn,A_hops_all,A_hops_citrus,A_hops_tropical,A_hops_noble,A_hops_woody,A_esters_all,A_esters_ethac,A_esters_isoaa,A_esters_flower,A_esters_fruity,F_malt_all,F_malt_grain,F_malt_bread,F_malt_cara,F_malt_burn,F_hops_all,F_hops_citrus,F_hops_tropical,F_hops_noble,F_hops_woody,F_esters_all,F_esters_ethac,F_esters_isoaa,F_esters_flower,F_esters_fruity,acidity,bitternes,sweetness,X4vg,diacetyl,dms,metallic,stale_hops,t2n,orange,coriander,clove,lactic,acetic,barnyard,alcohol,aftertaste,body,co2,overall
155,5410228188704,Low/No alcohol,-0.407510111,-0.252199659,-0.122667071,-0.554391142,-0.384539605,-0.945816689,-0.4937209,-0.339305993,-0.672803934,-0.041538285,-1.258341855,-0.498151852,-0.804312481,-0.499263938,-0.378343221,-0.588820652,-0.363844132,-0.380062715,-0.555756438,-0.538200898,-0.638299652,-0.482822749,-0.360475463,-0.256348732,-0.154052199,-0.990915446,-0.435386429,-0.456403925,-0.363371425,-0.359339028,-0.26655485,-0.640145174,-0.13946101,-0.608348003,-0.550811833,-0.565550388,-0.329917854,-0.366768402,0.291255558,0.602959304,0.036031635,-0.225152971,-0.314573857,-0.282148931,-0.357289729,-2.126649343,-1.444015376,-1.185512675,-0.195233373,-0.819544996
141,5410228141174,Low/No alcohol,-0.770838148,-0.351465434,-0.216258184,-0.554391142,-0.384539605,-0.498462398,-0.4937209,-0.187187994,-0.215027482,-0.417659128,-0.334008848,0.239834921,-0.190746916,-0.157981031,-0.253593318,-0.674089724,-0.343624246,0.16665519,-0.555756438,-0.183350697,-0.161293466,-0.482822749,-0.360475463,0.194691621,0.498703996,-0.524320257,0.227177541,-0.246967702,-0.168862784,-0.151250768,-0.496049115,-0.749655815,-0.160373865,-0.356037938,-0.550811833,-0.0758864,-0.558389742,-0.366768402,-0.506451787,0.4110877,-0.21316822,-0.225152971,-0.314573857,-0.282148931,-0.357289729,-1.479765618,-1.205579171,-1.317142791,-1.041478217,-0.887407558
179,5411081004736,Flanders old brown,1.07493318,0.629702159,-0.395499304,1.383448318,0.555784108,-0.673406948,-0.298640385,-0.369287645,-0.329456748,-0.285873293,0.588779022,-0.028532369,0.477130901,0.392599859,0.145039038,-0.480022216,0.033042119,-0.560141429,-0.29585358,-0.374426256,-0.286852991,0.139804237,-0.31540358,-0.031248296,-0.315006291,0.164342958,-0.335455953,0.085406,0.161856387,0.068589991,1.698104579,-0.699245184,0.01374167,-0.481654872,1.219412117,-0.396982106,-0.039780835,-0.328516664,-0.259310632,-0.237486419,-0.158648903,-0.193414469,2.00506597,1.499238896,-0.319925396,-0.328602576,-0.003116587,-0.344592689,0.319608193,0.539157953
33,5425005660465,Fruitbeer,-0.923375701,-0.411625222,-0.350589762,-0.007695018,-0.395999058,-0.900943033,-0.579850507,0.231098065,-0.985296294,-0.316157766,1.427016186,-0.719258356,1.791421491,-0.381034465,1.294268141,-0.976954086,-0.572305862,-0.369944151,-0.461243396,-0.432229547,-1.094855604,-0.265107963,0.1242601,-0.886961802,0.197377173,0.340180911,-0.794101527,0.69419923,0.296279608,0.705514908,-0.495474224,-0.775583517,0.613951257,-0.477169281,-0.381438811,-0.595283604,0.242804197,-0.330107959,-0.213278599,-0.196648935,-0.154420058,-0.172799347,0.537284513,-0.145442442,-0.322330207,-1.622180289,-0.363678458,-1.051213834,-0.247135251,-1.020328521
50,5411223030043,Fruitbeer,-0.636246135,0.036610184,-0.350589762,-0.548202007,-0.395999058,1.315257324,-0.579850507,2.698703447,-0.985296294,-0.316157766,0.594311963,-0.719258356,0.521210313,-0.381034465,1.367270477,-0.138990284,0.340342729,-0.369944151,-0.007503441,-0.432229547,0.72799739,-0.466465535,2.762132247,-0.691527812,-0.363583268,0.918975132,-0.794101527,0.69419923,-0.310694846,1.555049258,-0.328264253,-1.374642688,1.512833538,-0.477169281,-0.30251595,0.197863847,-0.478069278,-0.330107959,-0.477207738,-0.196648935,-0.154420058,-0.172799347,0.43326726,0.826962627,-0.322330207,-1.394626164,-0.578867284,-0.562798198,-0.887025956,-0.151732141
227,5411223030098,Fruitbeer,-0.74739523,-0.067493408,0.153917089,-0.548202007,-0.395999058,-1.362201516,-0.579850507,-0.28421034,-0.591820638,-0.063139548,0.259100129,-0.143234087,0.392569732,-0.381034465,0.481158682,-1.059227255,-0.584617644,-0.369944151,-0.461243396,-0.432229547,-1.000039684,-0.301249095,-0.105150146,-0.536288277,-0.363583268,0.228386433,-0.794101527,0.460551604,-0.310694846,0.983657172,1.225111037,-0.761528867,0.649704803,-0.477169281,-0.381438811,0.197863847,0.242804197,0.198604632,0.953585657,0.883979826,-0.154420058,-0.172799347,0.71116443,0.517711728,-0.322330207,-1.350800565,0.160885239,-0.350237051,-0.462569639,-0.259741073
88,5411081003654,Kriek,-0.538539991,-0.028112845,-0.118949879,-0.493870265,-0.342976798,-1.241353171,-0.426724285,-0.369153169,-0.953166266,-0.055024446,1.386192096,0.459596799,0.193249333,0.490392464,1.135603443,-0.615066104,-0.279553101,-0.426772807,-0.085411141,-0.288623381,-1.145749144,-0.452488971,-0.283492388,-0.890007537,0.060106911,1.234305062,1.060126024,0.713852099,1.202009301,1.682747994,0.827064741,-1.294857218,1.879788781,-0.482112706,-0.309745482,-0.591636962,-0.506091656,-0.366235731,-0.151886109,-0.231139286,-0.166492365,1.066411806,0.269355039,0.402712577,-0.35562628,-0.041000701,-0.205583158,-0.876708403,-0.3757632,-0.215437592
77,8711406023563,Blond,-0.037919856,0.343619234,-0.379361766,0.021151334,-0.285338047,-0.365413458,-0.38950414,-0.410507223,-0.156868177,0.114012869,-0.948681298,-0.812840267,-0.336121216,-0.291019495,-0.094233953,-0.215928041,0.188435706,-0.494797888,0.127668776,-0.290908826,-0.217308938,0.098996194,0.001415029,-0.167393381,-0.183219788,-0.650526287,-0.439232818,-0.318138217,-0.016720119,-0.208634329,-0.530308542,-0.465362239,-0.579107266,0.100402641,1.363543199,0.395239421,-0.420608641,0.53091735,0.339174617,-0.248464318,-0.171020968,-0.213774845,-0.3007086,-0.2680461,0.537790364,-0.577175259,-0.819771351,-0.405455315,-0.980762776,-0.579597186
22,5411663001276,Wheat,-0.285622296,-0.532954324,0.37199411,-0.046682279,0.259584173,-0.012540136,0.676710627,0.088089225,-0.548137824,0.111791033,-1.033847792,-0.580080872,-0.481102595,-0.447647062,-0.383081315,-0.969832224,-0.393414475,-0.155328231,-0.396666125,-0.457852212,-0.611394473,0.233392896,0.12121531,-0.717065637,-0.299406264,-0.59720366,-0.554624525,-0.150784619,-0.268571461,-0.015521047,-0.482004601,-1.191394813,0.669472413,0.087153961,-0.007857812,-0.504806189,-0.526802421,-0.041717398,-0.379831665,4.329084139,0.85860636,1.789029285,0.002600442,-0.286129747,-0.000466914,-1.06396117,-0.599378591,-0.93673794,-0.559569783,-0.201182104
81,8715608222557,Pils/Lager,-0.761576176,0.044610381,-0.426442383,-0.477961044,-0.204425974,-0.542358705,-0.215464639,-0.360077073,-0.3267334,0.229071191,-0.977912443,-0.197693067,-0.466236889,-0.347830173,-0.569732274,-0.911479254,-0.239736358,-0.551921078,-0.498842391,-0.265854411,-0.513315713,-0.380896886,0.035533462,-0.096178518,0.461338984,-0.852835967,-0.186540621,-0.397762751,-0.284488207,-0.522012825,0.047245625,-0.964826811,-0.252687626,-0.291660288,0.112189242,0.869084248,0.611142409,1.618166899,0.259759743,-0.224739422,-0.168804402,-0.209131955,-0.33938346,-0.298218711,1.6744141,-0.742098325,-0.613241799,-0.638017555,-0.947626349,-1.427364546
202,5425029020047,Stout/Porter,1.207928581,0.135363624,0.09517588,0.931861138,1.936031818,0.172558082,0.043908874,-0.14087584,0.29288988,0.08379148,-0.650351949,-0.589109976,-0.396311463,-0.023968779,0.079810855,1.488318357,-0.143538453,0.091905635,0.128970267,2.075135631,0.420371837,-0.376895221,-0.140101566,0.022961841,0.446032744,-0.674103196,-0.406967884,-0.455850936,-0.289305453,-0.523303943,-0.394040432,0.992866326,-0.44640862,-0.363150465,-0.423690368,-0.166029706,-0.354033158,0.035416459,-0.179517017,-0.125447419,0.03393912,-0.043801964,-0.28653122,-0.2717004,0.063365713,-0.079782303,1.014484004,0.370660605,-0.273622156,-0.244101972
64,5410908000128,Blond,-0.125930464,-0.22116022,-0.084574857,-0.038500432,-0.198485051,0.042480056,1.180354775,0.075600659,-0.768510188,-0.324294813,0.560993161,0.586024054,0.408460985,0.738488037,-0.091199013,-0.693777753,-0.49076731,-0.426304489,-0.319911776,-0.208439206,-0.334003919,0.491860197,-0.321237165,-0.651136048,0.08847848,0.148216815,-0.082715707,-0.306159737,0.79662795,-0.301901188,0.549756308,-0.168061459,-0.214825336,-0.105523388,-0.091914665,-0.462164201,1.038846772,-0.356219049,-0.470473557,1.346384221,1.200823623,-0.223162394,-0.331197156,-0.277935224,-0.350926111,-0.628231961,-0.156237147,-0.646695245,-0.307312788,0.166066888
218,54057142,Pils/Lager,-0.192130132,0.07075918,-0.207857471,-0.31318065,-0.338415536,-0.70323675,-0.033774139,-0.362091911,-0.56584931,-0.352724823,-0.021487578,0.34901888,-0.20916737,-0.311066581,0.215803408,-0.11706945,0.414622284,-0.216584173,-0.33336909,-0.359428305,-0.794908453,-0.241592081,-0.293107834,-0.45870787,-0.3543939,-0.28832101,-0.244775185,-0.32071166,-0.201519311,-0.035184953,-0.49343663,-0.046402188,-0.094408566,-0.259004412,0.169465792,0.800475317,1.148315872,0.249422407,1.053549131,-0.221194384,-0.170907237,-0.211215031,-0.286260354,-0.237812464,0.256826792,-0.866812949,-0.652086642,-0.395974422,-0.729563277,-0.01382083
96,5411681080000,Pils/Lager,-0.15597676,-0.482517508,-0.314621592,0.192903076,-0.342685636,-0.729888592,-0.05152792,-0.321086858,-0.373620933,-0.174017919,-0.478676016,-0.699739917,-0.050988644,-0.126115161,0.009903134,-0.79262161,-0.313953627,-0.454499235,-0.122398704,-0.436124637,-0.677857883,-0.013022799,-0.22384264,-0.275749156,-0.390779149,-0.737104646,-0.644912565,-0.073956057,0.099320404,0.156955653,-0.305114338,0.070314533,-0.3313931,-0.05466261,0.827776294,0.309824579,-0.394302777,0.170614944,0.062773145,-0.226283226,-0.17264939,-0.205780602,-0.327871302,-0.296172324,0.196865253,-0.338162111,-0.308122849,-0.207060917,-0.072670504,-0.707959951
230,5410228141235,Pils/Lager,-0.639860791,-0.08135932,-0.476990017,-0.477113304,-0.274083606,-0.960211153,-0.497214658,-0.322966583,-0.698072868,-0.292678704,-0.733343953,-0.358893788,-0.521975149,-0.42172268,-0.495456451,0.209220462,0.365121564,-0.599396554,-0.507156207,-0.34636537,-0.688919584,-0.430594881,-0.270564548,-0.340146468,-0.349085446,-0.890707511,-0.501228053,-0.434326407,-0.298000107,-0.50842295,-0.119392659,-0.459507279,-0.585845564,-0.469546,0.548732264,-0.289090833,-0.536870658,0.079044412,-8.07E-05,0.200944967,0.215815775,-0.233774283,-0.147001494,0.128602573,0.083746659,-0.875527935,-0.736021386,-0.772985431,-0.511575298,-0.847479607
44,5411633250055,Wheat,-0.860715696,-0.211215205,-0.366447922,-0.55166984,-0.379303778,-0.348714349,0.200574116,-0.122789086,-0.255298643,0.106857983,-0.681453254,-0.515486551,-0.617810551,-0.457129433,-0.023161409,-1.159618549,-0.39904027,-0.709539287,-0.528004537,-0.502050606,-0.303533457,0.502207717,0.095680391,-0.498914091,0.080862648,-0.589409393,-0.555732566,-0.552211532,0.000224531,0.079321903,-0.0595276,-0.613115061,-0.497945691,0.515064242,-0.137057276,1.497951842,-0.420620559,0.185945,-0.073141848,0.95227657,2.330516235,0.316342273,-0.307014173,-0.278342102,0.195938723,-0.490128884,-0.671614616,-0.508369875,0.70436434,-1.375542697
161,5411686700057,Flanders old brown,0.069813203,-0.091576858,-0.090103011,0.164437879,0.192059643,-0.561917892,-0.296915549,-0.36296944,-0.305865092,-0.013413424,0.096799125,0.571884241,-0.113082844,0.108127422,-0.4176943,-0.345306434,-0.005834915,-0.275795855,-0.12880642,-0.437933773,-0.570513833,-0.046910988,-0.116299267,-0.408716347,-0.162051961,0.331442684,0.68685711,-0.275840217,-0.172162849,0.295787341,1.221408591,-0.717276072,-0.1896761,-0.304398121,-0.146679017,-0.007907444,0.244833828,0.000697575,0.077903959,-0.236587392,-0.164528591,-0.211174334,1.294536638,0.791122135,0.022725636,-0.375637741,-0.164834585,-0.280059761,-0.146403212,0.200307573
195,8711406995631,Wheat,-0.539493059,-0.4978549,-0.208773751,-0.414103158,-0.127901057,0.021381872,-0.285455803,-0.223997332,0.10434437,0.028674683,0.003887217,0.187099804,0.329669692,-0.307782301,0.089530557,-0.22021973,-0.125333068,-0.092494024,-0.110081334,0.008664608,-0.070778784,-0.158523021,-0.013520423,-0.040129116,0.20786575,0.11234549,-0.008832592,0.568117217,-0.297449026,0.09729008,-0.342363532,-0.418157867,-0.063185283,-0.117452369,0.016648724,-0.133683567,0.351536083,-0.358735719,-0.199472163,-0.141684201,-0.182740149,-0.026083929,-0.307014173,-0.278342102,-0.349452449,0.171968874,-0.198443926,-0.093960298,0.606804624,0.806182051
142,54112087,Wheat,-0.801961747,-0.342767488,-0.293905792,-0.55166984,-0.144531041,0.087814256,0.860725214,0.130939841,-0.057424317,-0.364543644,0.060475292,-0.518852094,0.193260969,0.60349341,-0.559714974,-0.446819573,0.311065637,-0.03001236,-0.267158894,-0.502050606,-0.163890651,0.155350911,-0.013520423,-0.062452424,-0.425054147,-0.198077318,-0.301303197,-0.020617562,0.401401177,-0.203810264,-0.476920916,-0.06779412,-0.418824593,-0.009910486,-0.542401876,-0.145103047,1.421843517,-0.358735719,0.041050756,0.206428355,0.563390017,0.107608277,-0.307014173,-0.278342102,-0.349452449,-0.410965002,-0.837945587,-0.601601573,0.444083852,0.083811052
137,54057012,Amber,0.521511795,0.260903527,-0.03534566,0.717882517,-0.371552201,-0.382079259,-0.285660488,-0.240377687,-0.199994843,-0.337560049,-0.227503456,-0.05226367,0.048147164,-0.428042669,-0.05783264,0.509608767,0.850773227,0.422153696,-0.032832444,-0.352288675,-0.548071243,-0.236653364,-0.292036281,-0.098214849,-0.387646836,-0.432483592,-0.200494634,-0.18924566,-0.313884856,-0.286412959,-0.60210855,-0.621053771,-0.194417608,-0.528646331,0.248856016,0.270327604,-0.207773771,-0.344930298,0.602856667,-0.256073738,0.370914809,-0.218965058,-0.307488368,-0.280143962,-0.336678503,-0.465692322,-0.409788478,-0.20186724,-0.378048264,-0.075903585
236,54107052,Brett/cofermented,-0.03063959,-0.095250785,0.065324561,-0.322376557,-0.122370534,0.600966412,0.009931621,-0.111374446,0.591653035,0.386815254,-0.629348652,0.093387586,-0.667129465,-0.514672007,0.031776773,-0.110741624,-0.156672749,-0.195128563,-0.186203459,0.135640905,0.659146646,-0.51325821,-0.381055304,0.952550661,-0.484079168,-0.560367505,0.007723891,-0.63834854,-0.140688668,-0.170367514,0.245572853,0.294496569,-0.745399458,-0.291264517,-0.357499052,0.581444093,-0.447064229,1.690248159,-0.488937098,0.882180516,-0.235412798,-0.246439993,0.170429149,-0.262030858,1.754133783,-0.843403802,-0.307277803,-0.419358606,-0.59813973,0.107064974
223,5410228231325,Low/No alcohol,-0.374277716,0.121972381,-0.235975574,-0.554391142,-0.384539605,-0.247950671,-0.4937209,0.242117658,-0.456542375,-0.417659128,0.187559503,-0.503966722,0.128709418,-0.499263938,0.877366956,-0.246442144,0.133216349,-0.023305173,-0.555756438,-0.538200898,-0.423417494,-0.218476445,-0.123571421,-0.382716373,-0.274024079,0.0395296,-0.406245681,0.119037787,-0.363371425,0.369867718,-0.098540277,-0.488247247,0.248622429,-0.411707607,-0.261394726,-0.565550388,0.127025921,-0.366768402,-0.506451787,0.371977484,0.582893077,0.069774517,-0.314573857,-0.282148931,-0.357289729,-1.974903635,-1.116490471,-0.946718252,-0.343380355,-0.140586507
211,5411223030050,Lambic,0.008225741,0.110013877,-0.216448479,-0.45935263,0.300511664,-0.34605204,-0.232372615,-0.260549831,-0.323531809,0.300027515,-0.233790349,-0.09616603,-0.559737425,-0.412315049,-0.053546745,-0.606667018,-0.0235479,-0.234483801,-0.347794845,-0.327518675,-0.323221981,-0.102177826,-0.318231854,-0.252364179,0.225256115,-0.250012591,-0.267668501,-0.224643815,-0.293420406,0.000206154,2.41587924,-0.807560546,0.547623121,-0.343567137,-0.011871497,-0.335971126,-0.129633404,0.560319839,0.118045151,-0.248142575,-0.160148109,-0.204596605,2.026043942,1.116487002,0.582082069,-0.642824436,0.147142202,-0.36676376,-0.582665487,-0.430328956
190,875213000068,Flanders old brown,-0.313705383,0.141133427,-0.020132101,-0.348483051,-0.361280505,0.871498383,0.309425883,0.488165944,1.087265923,0.392168446,-0.353235354,-0.65393347,-0.134935957,-0.096443328,-0.57434672,-0.417065912,-0.054004805,-0.055340968,-0.538119017,-0.240794773,0.371010593,0.612984489,0.868679638,0.18148254,0.031060056,-0.312909441,-0.265180451,0.191629163,0.027392113,-0.477086681,0.239015525,-0.275628278,-0.58711112,-0.486001504,-0.506051345,0.231931069,0.17298155,0.670169639,0.659686192,-0.011950452,-0.164528591,-0.211174334,0.169573763,-0.272959157,0.714499294,-0.31944421,-0.659353845,-0.048427922,0.361899811,-0.182047078
197,5412896000111,Wheat,-0.622097818,-0.162658442,-0.449243069,-0.211523067,-0.379303778,-0.419946339,-0.450663539,-0.414144832,-0.22550639,0.263575001,-0.73681717,-0.377420748,-0.393442473,-0.109902363,-0.127062995,-0.105221589,0.210280784,0.199686133,-0.528004537,0.103846408,-0.032173667,-0.406347682,-0.16158545,-0.082818188,0.714095139,-0.827587636,-0.272323076,-0.276863018,-0.297449026,-0.292903315,-0.080009858,0.017481716,-0.775136182,1.01734388,-0.542401876,1.660512598,0.532819601,0.226421621,0.172330509,0.055093666,-0.182740149,-0.222693093,-0.307014173,-0.278342102,0.238546705,-0.583053856,-0.674890553,-0.644506012,-0.32984109,-0.765154598
228,5411663002945,Tripel,0.703371771,0.516421013,1.370780167,0.298551303,-0.384539605,0.566221453,0.405502418,0.242117658,0.855545951,-0.166911899,0.373813136,0.406439446,0.435842912,-0.208540201,-0.031793537,0.337316945,0.46684855,0.741795551,0.045890786,-0.538200898,0.570094131,0.220890376,0.819758918,0.002806371,-0.513967839,1.093456278,0.737143714,0.990146916,0.535285892,0.160840503,-0.26655485,0.07705003,-0.100046724,0.416554263,-0.287277112,-0.7594485,-0.397024931,-0.366768402,-0.506451787,-0.089986156,-0.21316822,-0.225152971,-0.314573857,-0.282148931,-0.357289729,-0.148538277,0.15517585,0.135486908,0.83425685,1.34564954
185,54055001,Pils/Lager,-0.479201232,-0.132404282,-0.458924924,-0.25587833,-0.239661811,-0.640492571,-0.025470717,-0.092415907,-0.600048516,-0.193393568,-0.723991106,-0.443512693,-0.287019901,-0.279014178,-0.412651321,-0.35538274,0.112303665,-0.551586365,-0.294061549,-0.18793582,-0.513692662,-0.352130325,-0.257027023,-0.342296949,-0.085317195,-0.966850431,-0.680813571,-0.454343785,-0.214963479,-0.404852423,-0.304255797,-0.399967346,-0.116289115,-0.31594664,0.323867999,0.228155496,0.167523811,-0.25173577,1.647048513,-0.229963705,0.245384992,-0.217567415,-0.136160076,-0.293629745,-0.240202731,-0.676637697,-0.944774992,-0.710302741,-0.706827839,-0.735932766
